timestamp,host,event_type,event_description
2024-07-30 14:30:40,server3,login,User admin logged in
2024-07-30 15:12:33,server1,login,User guest logged in
2024-07-30 16:54:25,server2,logout,User admin logged out
2024-07-30 17:01:00,server3,error,Failed login attempt
2024-07-30 18:45:32,server1,login,User admin logged in
2024-07-30 19:30:21,server2,login,User guest logged in
2024-07-30 20:45:10,server3,logout,User guest logged out
2024-07-30 21:21:19,server1,login,User admin logged in
2024-07-30 22:33:45,server2,error,Database connection failed
2024-07-30 23:50:00,server3,login,User guest logged in
